cajas,ref,frei,pos,pol,W_sim,W_profe,Var_W,IC_low,IC_high,W_analitico_ref,clientes_completados,viol_rho,score_align_40,score_wait_50,score_comp_10,score_total_100,criterio_optimo
8,1,1,1,1,156.5334,2.424,17695.1187,156.0011,157.0657,40.0,198.76,5,40.0,29.78,10.0,79.78,
1,8,1,1,1,221.5808,3.9388,15157.3813,220.9352,222.2263,0.9038,122.56,4,40.0,0.0,10.0,50.0,
1,1,1,1,8,219.1974,3.4553,14830.8439,218.608,219.7867,0.0,139.53,5,40.0,1.09,10.0,51.09,
1,1,1,8,1,220.995,3.9467,15145.4326,220.3293,221.6606,1.0435,122.32,4,40.0,0.27,10.0,50.27,
1,1,8,1,1,215.128,3.042,14425.2832,214.4767,215.7793,9.8824,158.78,4,40.0,2.95,10.0,52.95,
7,1,2,1,1,167.9564,1.9419,15378.4444,167.4478,168.4651,0.0,247.86,5,40.0,24.55,10.0,74.55,
1,1,1,7,2,221.1061,3.5601,14956.9332,220.528,221.6841,1.1053,135.44,4,40.0,0.22,10.0,50.22,
1,1,2,1,7,214.9526,2.5759,13782.1737,214.361,215.5443,0.0,187.23,5,40.0,3.03,10.0,53.03,
2,1,7,1,1,191.4723,1.799,11404.5597,190.9885,191.9562,21.0,267.52,5,40.0,13.78,10.0,63.78,
1,2,7,1,1,214.4662,3.0497,14418.3496,213.7979,215.1344,21.0,158.35,5,40.0,3.26,10.0,53.26,
1,2,1,1,7,219.3073,3.4631,14845.948,218.7249,219.8896,0.0,139.21,5,40.0,1.04,10.0,51.04,
1,2,1,7,1,221.0302,3.945,15222.9781,220.3931,221.6673,1.1053,122.35,4,40.0,0.25,10.0,50.25,
1,1,2,7,1,215.9827,3.0811,14347.7275,215.3071,216.6583,1.1053,156.77,4,40.0,2.56,10.0,52.56,
7,1,1,2,1,161.1264,2.3993,16271.842,160.5879,161.665,0.0,200.88,5,40.0,27.67,10.0,77.67,
1,1,7,1,2,215.9234,2.7237,14123.5604,215.2826,216.5642,21.0,177.16,5,40.0,2.59,10.0,52.59,
1,1,7,2,1,213.8229,3.047,14430.2975,213.1427,214.5031,21.0,158.47,5,40.0,3.55,10.0,53.55,
2,1,1,1,7,202.0932,2.4932,12891.7575,201.5964,202.5899,0.0,193.16,5,40.0,8.92,10.0,58.92,
2,7,1,1,1,200.8244,2.8688,13467.6901,200.2786,201.3701,0.9497,168.07,4,40.0,9.5,10.0,59.5,
